Run	NCURJap	NCURYor	NBotJap	NancJap	NBotYor	NAncYor	TBotOOA	NOOABot	NAncAFR	NAncBot	TAncBot	TBotJap	TBotYor	MaxEstLhood	MaxObsLhood
run1	14129	29623	621	28027	8049	80434	1069	728	29509	130	13402	860	305	-1708158.574	-1705992.687
run2	20792	34857	6783	3634	13163	76401	2047	2442	38875	290	18278	910	111	-1708906.835	-1705992.687
run3	22932	65832	635	60371	5888	80872	1372	682	43996	217	16249	1118	363	-1708495.421	-1705992.687
run4	16589	80043	363	48172	6023	60139	1137	3718	32327	135	14302	917	187	-1708175.231	-1705992.687
run5	12693	46338	835	6907	5155	99301	1030	583	25517	118	12825	780	188	-1708138.490	-1705992.687
run6	46123	47153	5398	4886	9507	60052	1615	842	33610	189	16554	398	341	-1708571.636	-1705992.687
run7	34584	93417	1238	12734	7469	122289	2335	595	48993	4659	10563	1119	249	-1709692.359	-1705992.687
run8	44226	58291	5399	24078	5880	80504	1193	333	40843	183	16581	175	553	-1708321.057	-1705992.687
run9	31588	56794	4768	9725	6408	56988	1026	366	31638	136	13736	312	242	-1708148.140	-1705992.687
run10	24759	35051	656	17165	9822	89840	1471	671	40943	223	15844	1005	466	-1708487.732	-1705992.687
run11	21227	77998	7945	46320	7142	37171	1038	311	36460	161	15708	94	570	-1708245.341	-1705992.687
run12	21619	52538	651	19644	9654	83792	1812	766	40689	310	17909	1196	195	-1708711.630	-1705992.687
run13	49678	83424	9838	4553	7633	83585	2044	2017	39816	302	17569	541	611	-1709007.953	-1705992.687
run14	16527	53144	668	48800	6728	54641	1161	669	32507	141	14555	919	313	-1708224.791	-1705992.687
run15	12961	14012	370	34368	6100	88374	1027	3733	25067	111	12986	724	71	-1708154.546	-1705992.687
run16	21166	24207	8402	6204	8116	87852	1027	389	31106	129	13817	376	271	-1708107.855	-1705992.687
run17	51411	85557	6470	8779	6482	139077	2369	642	48338	2550	12044	664	281	-1709692.848	-1705992.687
run18	24409	79940	623	48191	11949	80393	1936	751	49671	2638	12507	1545	563	-1709575.919	-1705992.687
run19	23260	45749	1247	51881	9620	105020	1909	455	58187	5267	7659	1424	426	-1709658.593	-1705992.687
run20	26641	28294	3025	3986	7909	74869	1424	686	34067	172	16344	585	116	-1708391.415	-1705992.687
run21	20692	45308	3229	1727	8198	69502	1482	5049	36834	188	16015	826	105	-1708405.710	-1705992.687
run22	60060	30203	6837	4873	9616	99157	1768	957	34917	240	18024	438	277	-1708651.660	-1705992.687
run23	16555	20342	1766	1287	8325	70902	1032	551	29553	126	14030	741	116	-1708148.129	-1705992.687
run24	67343	46344	2288	32412	7085	62145	1031	337	31520	134	14719	306	102	-1708155.845	-1705992.687
run25	24428	54462	688	76153	7379	58853	1333	592	42691	221	16209	1083	997	-1708511.216	-1705992.687
run26	10689	82479	523	15925	4091	107365	1018	1092	23839	104	12244	716	93	-1708147.600	-1705992.687
run27	13262	43835	531	17293	5981	56721	1045	905	26168	114	12874	691	273	-1708189.484	-1705992.687
run28	15948	36007	638	51441	6032	106514	1024	661	29485	124	13558	743	536	-1708156.782	-1705992.687
run29	15260	38164	897	7124	6564	66500	1056	551	27516	125	13803	689	164	-1708163.029	-1705992.687
run30	69446	68511	6672	8082	7337	127612	2267	631	48634	3558	11734	647	374	-1709688.710	-1705992.687
run31	22854	70746	3916	29337	5390	88172	1164	335	33835	147	15518	391	308	-1708225.191	-1705992.687
run32	16227	45693	341	20795	5908	85479	1020	8886	27630	121	13832	782	397	-1708143.533	-1705992.687
run33	18690	37045	1090	37273	8105	68541	1210	462	36856	173	15861	924	275	-1708261.912	-1705992.687
run34	21648	32629	1215	33869	9226	79122	1199	430	38554	171	16002	818	522	-1708308.440	-1705992.687
run35	7367	28555	670	63874	6179	87801	1020	952	21087	100	12124	803	225	-1708442.435	-1705992.687
run36	22642	43379	966	45496	7993	78073	1223	465	35310	170	15194	788	481	-1708284.436	-1705992.687
run37	20012	82062	6480	2029	5129	114380	1260	406	38362	192	15886	957	489	-1708306.979	-1705992.687
run38	21957	60654	828	20683	8263	85920	1632	581	42330	257	16571	1056	308	-1708648.916	-1705992.687
run39	21654	13418	755	9990	8371	99740	1430	640	36148	192	17251	912	125	-1708400.283	-1705992.687
run40	12308	24526	494	42571	6952	60308	1028	1091	24918	113	12614	762	187	-1708165.201	-1705992.687
run41	19147	30768	925	2300	9586	63601	1357	717	36362	176	15498	1027	204	-1708345.192	-1705992.687
run42	16957	32441	633	20513	9811	69082	1122	683	29782	130	13625	799	471	-1708200.862	-1705992.687
run43	15908	86747	1208	45785	6329	65538	1041	430	26718	122	13252	701	74	-1708135.531	-1705992.687
run44	32591	56092	1816	4171	6731	79895	1760	1376	35593	221	17939	694	170	-1708632.830	-1705992.687
run45	16507	50822	615	2586	5381	62484	1016	1907	24745	107	12181	547	46	-1708244.088	-1705992.687
run46	27190	74265	608	3571	5884	72190	1274	1392	33053	157	15277	749	198	-1708356.647	-1705992.687
run47	76480	78946	976	14327	6747	154118	2600	712	44235	8050	9782	888	250	-1709841.324	-1705992.687
run48	19689	56139	702	37188	7954	75020	1547	651	45978	268	15916	1220	490	-1708670.270	-1705992.687
run49	21083	68048	1458	10455	7374	67872	1305	448	34460	170	16129	748	71	-1708255.740	-1705992.687
run50	44069	47013	5488	28616	7701	59791	1071	325	34156	151	14942	90	327	-1708162.467	-1705992.687
